Label,Variant,Accuracy,Macro_F1,Precision,Recall,ROC_AUC
5%,IndoBERT only,0.7970,0.7943,0.7930,0.7998,0.8759
5%,IndoBERT + Handcrafted,0.7963,0.7933,0.7918,0.7981,0.8567
5%,IndoBERT + TF-IDF--SVD,0.8044,0.7990,0.7990,0.7990,0.8772
5%,Full Hybrid,0.7956,0.7897,0.7901,0.7893,0.8632
5%,Full Hybrid + SSL,0.8040,0.7946,0.8037,0.7901,0.8685
10%,IndoBERT only,0.8199,0.8154,0.8147,0.8162,0.8923
10%,IndoBERT + Handcrafted,0.8238,0.8184,0.8195,0.8174,0.8904
10%,IndoBERT + TF-IDF--SVD,0.8269,0.8222,0.8222,0.8223,0.8881
10%,Full Hybrid,0.8231,0.8210,0.8197,0.8275,0.8990
10%,Full Hybrid + SSL,0.8287,0.8232,0.8249,0.8218,0.8987
20%,IndoBERT only,0.8393,0.8333,0.8372,0.8306,0.9102
20%,IndoBERT + Handcrafted,0.8364,0.8319,0.8321,0.8316,0.9065
20%,IndoBERT + TF-IDF--SVD,0.8340,0.8307,0.8289,0.8335,0.9111
20%,Full Hybrid,0.8340,0.8304,0.8289,0.8326,0.9076
20%,Full Hybrid + SSL,0.8470,0.8435,0.8423,0.8450,0.9167
